Match protein P33621.1 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein Q28758.1 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein P06727.3 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein Q32PJ2.1 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein M3W955.2 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein P02651.2 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein O46409.1 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein P06728.3 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
Match protein E2RE76.2 Index = 1 Pattern = A4 Description = RecName: Full=Apolipoprotein A-IV; Short=Apo-AIV; Short=ApoA-IV; AltName: Full=Apolipoprotein A4; Flags: Precursor
